Code,EngName,ArbName,Ledger Types,AllowAccountEntry,CatCode,CatEngName,CatArbName,Level,,Level = 1,Level = 2,Level = 3,Level = 4,Level = 5
402030040060,تأمين حياة      ,تأمين حياة      ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030040070,تامين أخطار مهنة,تامين أخطار مهنة,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030040080,تامين صحى,تامين صحى,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030050000,ايجارات      ,ايجارات      ,4,0,1234,ارباح الفترة,ارباح الفترة,4,,,,,,
402030050010,إيجارات,إيجارات,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030050020,ايجارات مباني     ,ايجارات مباني     ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030050030,ايجارات مكاتب     ,ايجارات مكاتب     ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030050040,ايجارات أخرى     ,ايجارات أخرى     ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030060010,تذاكر سفر للعمل      ,تذاكر سفر للعمل      ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030060020,مصروفات بدل انتقال    ,مصروفات بدل انتقال    ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030060030,مصروفات بدل انتداب    ,مصروفات بدل انتداب    ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030060040,مصروفات سفر وانتقال اخرى    ,مصروفات سفر وانتقال اخرى    ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030070000,قرطاسية ومطبوعات     ,قرطاسية ومطبوعات     ,4,0,1234,ارباح الفترة,ارباح الفترة,4,,,,,,
402030070010,صحف ومجلات ,صحف ومجلات ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030070020,مطبوعات      ,مطبوعات      ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030080000,اتصالات      ,اتصالات      ,4,0,1234,ارباح الفترة,ارباح الفترة,4,,,,,,
402030080010,بريد      ,بريد      ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030080020,انترنت      ,انترنت      ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030080030,هاتف      ,هاتف      ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030080040,فاكس      ,فاكس      ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030090000,دعاية واعلان     ,دعاية واعلان     ,4,0,1234,ارباح الفترة,ارباح الفترة,4,,,,,,
402030090010,دعاية واعلان - اعلانات بالصحف     ,دعاية واعلان - اعلانات بالصحف     ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030090020,دعاية واعلان - لوحات اعلانية على الطرق    ,دعاية واعلان - لوحات اعلانية على الطرق    ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030090030,دعاية واعلان - كتالوجات      ,دعاية واعلان - كتالوجات      ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030090040,دعاية واعلان - هدايا دعاية واعلان    ,دعاية واعلان - هدايا دعاية واعلان    ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030090050,دعاية واعلان - متنوعه    ,دعاية واعلان - متنوعه    ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030100000,مصروفات بنكية     ,مصروفات بنكية     ,4,0,1234,ارباح الفترة,ارباح الفترة,4,,,,,,
402030100010,مصروفات بنكية ,مصروفات بنكية ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030100020,مصاريف بنكية - مصاريف فتح اعتمادات مستندية,مصاريف بنكية - مصاريف فتح اعتمادات مستندية,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030100030,ماموريات عمل,ماموريات عمل,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030110010,ضيافة واستقبال - اقامة بالفنادق     ,ضيافة واستقبال - اقامة بالفنادق     ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030110020,ضيافة واستقبال - حفلات      ,ضيافة واستقبال - حفلات      ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030110030,ضيافة واستقبال - مؤتمرات       وندوات ,ضيافة واستقبال - مؤتمرات       وندوات ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030120000,رسوم ومصروفات حكومية    ,رسوم ومصروفات حكومية    ,4,0,1234,ارباح الفترة,ارباح الفترة,4,,,,,,
402030120010,رسوم و اشتراكات ,رسوم و اشتراكات      ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030120020,رسوم و م. حكومية - رسوم تصديقات     ,رسوم و م. حكومية - رسوم تصديقات     ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030120030,رسوم و م. حكومية - اشتراكات فى هيئات محلية    ,رسوم و م. حكومية - اشتراكات فى هيئات محلية    ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030120040,رسوم و م. حكومية - رسوم وجمارك     ,رسوم و م. حكومية - رسوم وجمارك     ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030120050,رسوم و م. حكومية - رسوم مرافق     ,رسوم و م. حكومية - رسوم مرافق     ,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030120060,رسوم و م. حكومية - رسوم تراخيص حاسب آلي,رسوم و م. حكومية - رسوم تراخيص حاسب آلي,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030120070,مصاريف استقدام,مصاريف استقدام,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030120080,مصاريف تحاليل رخص البلدية,مصاريف تحاليل رخص البلدية,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030120090,تكاليف اطباء خارجيين,تكاليف اطباء خارجيين,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030120100,وقود وزيوت,وقود وزيوت,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
402030130000,رسوم وأتعاب استشارية  ,رسوم وأتعاب استشارية  ,4,0,1234,ارباح الفترة,ارباح الفترة,4,,,,,,
402030130010,مصاريف استشارات      قانونية,مصاريف استشارات      قانونية,4,1,1234,ارباح الفترة,ارباح الفترة,5,,,,,,
